AASIA,28 Feb 2019,31 Dec 2018,31 Dec 2018,2673,1245,692,0.10,0.00,0.300
AASIA,29 Nov 2018,31 Dec 2018,30 Sep 2018,6948,-1493,-519,-0.08,0.00,0.311
AASIA,29 Aug 2018,31 Dec 2018,30 Jun 2018,8158,-2432,-2601,-0.39,0.00,0.312
AASIA,30 May 2018,31 Dec 2018,31 Mar 2018,7949,-2776,-2923,-0.44,0.00,0.316
AASIA,27 Feb 2018,31 Dec 2017,31 Dec 2017,8631,1901,257,0.04,0.00,0.312
AASIA,24 Nov 2017,31 Dec 2017,30 Sep 2017,8025,2195,224,0.03,0.00,0.307
AASIA,29 Aug 2017,31 Dec 2017,30 Jun 2017,8336,1053,-458,-0.07,0.00,0.306
AASIA,25 May 2017,31 Dec 2017,31 Mar 2017,6497,-456,-1670,-0.25,0.00,0.307
AASIA,24 Feb 2017,31 Dec 2016,31 Dec 2016,6363,118,720,0.11,0.00,0.310
AASIA,23 Nov 2016,31 Dec 2016,30 Sep 2016,7449,419,-820,-0.12,0.00,0.307
AASIA,18 Aug 2016,31 Dec 2016,30 Jun 2016,6412,3279,2371,0.36,0.00,0.308
AASIA,19 May 2016,31 Dec 2016,31 Mar 2016,5589,-1751,-2266,-1.89,0.00,1.679
AAX,21 Feb 2019,31 Dec 2018,31 Dec 2018,1148075,15862,-99269,-2.40,0.00,0.140
AAX,21 Nov 2018,31 Dec 2018,30 Sep 2018,1077422,-247838,-197469,-4.80,0.00,0.190
AAX,30 Aug 2018,31 Dec 2018,30 Jun 2018,1053620,-64785,-57457,-1.40,0.00,0.230
AAX,22 May 2018,31 Dec 2018,31 Mar 2018,1265333,55340,41498,1.00,0.00,0.240
AAX,22 Feb 2018,31 Dec 2017,31 Dec 2017,1220466,135576,84414,2.00,0.00,0.230
AAX,24 Nov 2017,31 Dec 2017,30 Sep 2017,1124465,-8627,-43302,-1.00,0.00,0.240
AAX,24 Aug 2017,31 Dec 2017,30 Jun 2017,1036347,27947,47438,1.10,0.00,0.240
AAX,25 May 2017,31 Dec 2017,31 Mar 2017,1180727,31908,10336,0.20,0.00,0.240
AAX,22 Feb 2017,31 Dec 2016,31 Dec 2016,1170295,29884,39006,0.90,0.00,0.260
AAX,23 Nov 2016,31 Dec 2016,30 Sep 2016,982402,12008,11025,0.30,0.00,0.230
