link,headline,category,date,timestamp,story
https://www.thestar.com.my/business/business-news/2019/03/16/buffetts-berkshire-says-vice-chairmen-jain-abel-each-make-$18-million/,"Buffett's Berkshire says vice chairmen Jain, Abel each make US$18mil",Corporate News,"Saturday, 16 Mar 2019",6:47 AM MYT,"NEW YORK: Berkshire Hathaway Inc on Friday said its newest vice chairmen, Greg Abel and Ajit Jain, were each awarded about US$18 million last year, in the first detailed look at the pay of the men considered the leading candidates to succeed Warren Buffett as the conglomerate's chief executive.Abel, 56, and Jain, 67, who became vice chairmen in January 2018, both received $16 million in salary plus $2 million in bonus, according to a U.S. Securities and Exchange Commission filing. Buffett sets compensation for both."
https://www.thestar.com.my/business/business-news/2019/03/16/global-stocks-gain-on-trade-brexit-optimism-dollar-slides/,"Global stocks gain on trade, Brexit optimism, US$ slides",Markets,"Saturday, 16 Mar 2019",6:55 AM MYT,"NEW YORK: A gauge of global equity markets hit a five-month high on Friday on investor optimism over U.S.-Chinese trade talks and hopes a new Brexit vote next week will prove successful, but the dollar headed to its biggest weekly loss since early December.Hopes of Britain avoiding a chaotic exit from the European Union lifted stock indexes in Europe to highs last seen in October, while substantive progress on U.S.-China trade talks -as reported by China's state-run news agency - also buoyed sentiment."
https://www.thestar.com.my/business/business-news/2019/03/16/sec-sues-volkswagen-former-ceo/,"SEC sues Volkswagen, former CEO",Business News,"Saturday, 16 Mar 2019",,"WASHINGTON: The US Securities and Exchange Commission (SEC) has sued Volkswagen AG (VW) and its former chief executive Martin Winterkorn over the German automaker’s diesel emissions scandal, accusing the company of perpetrating a “massive fraud” on US investors.The SEC said in its civil complaint filed in San Francisco that from April 2014 to May 2015, Volkswagen issued more than US$13bil in bonds and asset-backed securities in US markets at a time when senior executives knew that more than 500,000 US diesel vehicles grossly exceeded legal vehicle emissions limits."
https://www.thestar.com.my/business/business-news/2019/03/16/ekovest-transaction-raises-questions/,Ekovest transaction raises questions,Corporate News,"Saturday, 16 Mar 2019",,"THE related party transaction (RPT) between Tan Sri Lim Kang Hoo (pic)-controlled companies, namely Ekovest Bhd  and PLS Plantations Bhd , has raised some eyebrows.The transaction involves Ekovest buying a 23.42% stake in PLS from Serumpun Abadi Sdn Bhd, a company controlled by Lim, who is its executive chairman, for RM76.5mil cash.Lim is also the executive chairman of Ekovest, owning a 40% stake in the company.The PLS deal comes a year after Lim proposed that Ekovest buy a 62% stake in Iskandar Waterfront City Bhd , a public-listed property development company based in Johor.However, shareholders of Ekovest had shot down the proposal."
https://www.thestar.com.my/business/business-news/2019/03/16/malaysia-eyes-hightech-foreign-direct-investments/,Malaysia eyes high-tech foreign direct investments,Economy,"Saturday, 16 Mar 2019",,"MALAYSIA’S game plan to attract investments has taken a new shape, as the government places greater emphasis on luring investments in advanced technology and capital intensive industries.With the global economy heading towards a synchronised slowdown and global foreign direct investments hitting the lowest levels in 10 years, it is becoming increasingly challenging to attract investments.Hence, it is crucial for Malaysia to step up its game in positioning itself as a high potential investment hub in Asia. The government understands this very well and it has assured that adequate efforts are being undertaken to raise investors’ confidence in Malaysia.It seems that the efforts have begun to bear fruit.In 2018, a total of 81 capital intensive projects with investments of RM100mil or more were approved by the government, based on the recent data by the Malaysian Investment Development Authority (Mida).In comparison to 2017, the number of capital intensive projects have improved substantially by over 43% year-on-year."
https://www.thestar.com.my/business/business-news/2019/03/16/do-open-aps-only-benefit-the-rich/,Do open APs only benefit the rich?,Corporate News,"Saturday, 16 Mar 2019",,"Open approved permits (AP) for the import of reconditioned vehicles are mostly for the higher end market, targeting richer Malaysians.Questions have constantly been raised if this is a policy that favours the wealthier class, giving them alternatives of prices for the cars of their choice.Maybe open AP companies should only be allowed to import reconditioned vehicles or those with specifications that are not currently being offered by local dealers?Take for example, a reconditioned 2017 model of a Mercedes AMG GT R  being offered at around RM1.3mil. A brand new one from the local Mercedes-Benz dealership would cost around RM1.7mil.A brand new Toyota Alphard 3.5 from UMW Toyota would be around RM443,000. A similar model from reconditioned sellers, which are said to be brand new, are priced at around RM400,000.The open AP policy has always been a controversial topic, ever since the issue erupted in 2005 that it only benefitted certain companies.It was of course, Tun Dr Mahathir Mohamad who raised the issue, two years after retiring from his first tenure as prime minister.He had claimed that the policy made certain individuals wealthier and that its large issuance led to unfair competition against Proton. The controversy had then caused a fallout between Dr Mahathir and Tan Sri Rafidah Aziz, who was the International Trade and Industry (Miti) Minister for 21 years, 15 of which were under Dr Mahathir’s administration.Just three days ago, Miti announced the implementation of its new open AP policy, which will now see no limit to the overall number of open APs to be released throughout the year."
https://www.thestar.com.my/business/business-news/2019/03/16/unlocking-consumer-insights-with-analytics/,Unlocking consumer insights with analytics,Business News,"Saturday, 16 Mar 2019",,"PETALING JAYA: Star Media Group has set up an analytics division, the SMG NEO, as part of its business transformation strategy headed by former consultant Freddy Loo (pic). Previously from EY, Loo and his team are responsible for enhancing the group’s consumer insights, leading to improved product quality and delivery."
https://www.thestar.com.my/business/business-news/2019/03/16/decision-on-lng-canada-expansion/,Decision on LNG Canada expansion,Oil & Gas,"Saturday, 16 Mar 2019",,"HOUSTON: Royal Dutch Shell, Petronas, PetroChina, Korea Gas and Mitsubishi will decide by 2025 whether to double the capacity of the liquefied natural gas (LNG) export terminal in Western Canada they are building, the head of the project said.The US$31bil LNG Canada project last October became the first major project in five years to be approved, with first exports of the super-chilled fuel planned for 2025."
https://www.thestar.com.my/business/business-news/2019/03/16/capital-market-to-be-resilient/,Capital market to be resilient,Business News,"Saturday, 16 Mar 2019",,"Despite the external headwinds and global economic uncertainties, the Securities Commission (SC) is optimistic that the domestic capital market would remain resilient and orderly in 2019.The capital market regulator attributes this to Malaysia’s strong macroeconomic fundamentals, deep domestic liquidity and well-developed capital market infrastructure."
https://www.thestar.com.my/business/business-news/2019/03/16/boustead-to-sell--royale-chulan-bukit-bintang-hotel-for-rm197m/,Boustead to sell Royale Chulan Bukit Bintang hotel for RM197m,Business News,"Saturday, 16 Mar 2019",,PETALING JAYA: Boustead Holdings Bhd  has entered into a sale and purchase agreement with Singapore’s Hotel Royal Ltd to dispose of Royale Chulan Bukit Bintang Hotel for a total cash consideration of RM197mil.The proposed sale is expected to be completed by mid-2019.
https://www.thestar.com.my/business/business-news/2019/03/16/short-position/,Short Position,Business News,"Saturday, 16 Mar 2019",,"More catalysts neededTHIS week, it was highlighted that Malaysia’s stock market is Asia’s only market that is in the red this year."
https://www.thestar.com.my/business/business-news/2019/03/16/palm-oil-charts-third-weekly-loss-on-demand-woes/,Malaysian palm oil price charts 3rd weekly loss on demand woes,Palm Oil,"Saturday, 16 Mar 2019",7:02 AM MYT,"SINGAPORE/KUALA LUMPUR: Malaysian palm oil futures charted a third consecutive week of declines on Friday evening on concerns over demand from top buyers China and India, though prices reversed some losses to end the trading day slightly higher. Abundant supplies in key consumers of the tropical product are expected to weigh on the market, although the downside is limited, traders said."
https://www.thestar.com.my/business/business-news/2019/03/16/indias-feb-palm-oil-imports-ease-as-soyoil-purchase-jumps/,India's Feb palm oil imports ease as soyoil purchase jumps,Palm Oil,"Saturday, 16 Mar 2019",7:09 AM MYT,"MUMBAI: India's palm oil imports in February dropped 1.1 percent from a year earlier to 751,703 tonnes as soyoil imports jumped, a leading trade body said on Friday.Soyoil imports surged 65 percent to 220,376 tonnes in February, while sunflower oil imports eased 3.7 percent to 200,358 tonnes, the Solvent Extractors' Association of India (SEA) said in a statement https://bit.ly/2HkBBmV."
https://www.thestar.com.my/business/business-news/2019/03/16/airlines-with-buyers-remorse-may-use-boeing-737-max-ban-to-revise-orders/,Airlines with buyers' remorse may use Boeing 737 MAX ban to revise orders,Airlines,"Saturday, 16 Mar 2019",7:17 AM MYT,"DUBLIN/SINGAPORE/MONTREAL: The grounding of Boeing's global 737 MAX fleet has brought headaches for airlines that need to find alternative aircraft to fly in their place, but it has given some carriers a welcome opportunity to re-evaluate orders for the plane.Countries and airlines around the world banned the 737 MAX this week after a deadly Ethiopian Airlines plane crash killed all 157 people on board. The disaster followed a fatal crash of the same model operated by Lion Air in Indonesia in October."
https://www.thestar.com.my/business/business-news/2019/03/16/world-markets-themes-for-the-week-ahead/,World markets themes for the week ahead,Markets,"Saturday, 16 Mar 2019",7:26 AM MYT,NEW YORK: Following are five big themes likely to dominate thinking of investors and traders in the coming week.1/ THIRD TIME LUCKY? MAY-BE
https://www.thestar.com.my/business/business-news/2019/03/16/oil-retreats-from-2019-high-on-soaring-production/,Oil price retreats from 2019 high on soaring production,Oil & Gas,"Saturday, 16 Mar 2019",7:35 AM MYT,"NEW YORK: U.S. crude futures eased slightly on Friday after hitting a 2019 high, as worries about the global economy and robust U.S. production put a brake on prices.West Texas Intermediate (WTI) crude oil futures settled down 9 cents at $58.52 a barrel, having hit their highest so far this year at $58.95."
https://www.thestar.com.my/business/business-news/2019/03/16/wall-street-weekahead-us-funds-focus-on-media-stocks-banks/,"US funds focus on media stocks, banks",Markets,"Saturday, 16 Mar 2019",10:25 AM MYT,"NEW YORK: The S&P 400 Mid-Cap index has surged to its best start to a year since 1991, both rewarding fund managers and forcing them to work harder to seek out bargains in a group that is now the most expensive part of the U.S. market based on their historical averages.The rally in mid-cap stocks - companies with a market valuation between $2 billion and $10 billion - has come during a broad rally in global stock markets as investors price in a resolution in the trade talks between the United States and China and fewer interest rate hikes by the Federal Reserve."
https://www.thestar.com.my/business/business-news/2019/03/16/bursa-to-come-under-pressure-next-week/,"Bursa to come under pressure next week, ringgit seen to remain weak",Markets,"Saturday, 16 Mar 2019",10:41 AM MYT,"KUALA LUMPUR: The lower performance of US equities at the end of the trading week, a decline in the benchmark Brent crude, as well as an anticipation of fresh catalysts during Invest Malaysia, will weigh on Bursa Malaysia next weekPhillip Capital Management Senior Vice President (Investment) Datuk Dr Nazri Khan said US equities closed lower on last Thursday after a revisit towards the S and P 500's November highs on trade war updates, while US Treasuries slid, and Brent crude dropped a dollar from the four-month peak to halt an incline in European energy stocks."
https://www.thestar.com.my/business/business-news/2019/03/17/saudi-stocks-set-to-receive-$20-bln-windfall-even-as-some-investors-sit-out/,Saudi stocks set to receive $20 bln windfall even as some investors sit out,Markets,"Sunday, 17 Mar 2019",2:59 PM MYT,"LONDON/DUBAI: Saudi Arabia's inclusion in major emerging markets stock indices from Monday is likely to suck in around $20 billion in passive inflows, but unease after Jamal Khashoggi's murder and sluggish reforms could lead some active foreign investors to steer clear.Saudi Arabia will be the biggest recent addition to the global indices, the largest of which is the MSCI Emerging Markets Index, which it joins from May. MSCI will give the kingdom a weight of 2.7 percent, between Russia and Mexico."
