company_fullname,tweet_text,favorite_count,created_at,hashtags,tweet_id,lang,urls,user_followers,user_screen_name,crawling_time
AIRASIA X,"RT @SFJ_JA22MC: エアアジアのスペマ、
アプリゲームの「ドールズフロントライン」がFUK初飛来
撮りたいと思ってたスペマの１つ
休みで良かった
左右でキャラクター違うのね
airasia X A330-300 9M-XXB(Dolls Front line Liv…",0,Wed Mar 27 21:54:44 +0000 2019,,1111023773270958080,ja,,263,yoshirin0150701,2019-03-31|20:12
AIRASIA X,"RT @SFJ_JA22MC: エアアジアのスペマ、
アプリゲームの「ドールズフロントライン」がFUK初飛来
撮りたいと思ってたスペマの１つ
休みで良かった
左右でキャラクター違うのね
airasia X A330-300 9M-XXB(Dolls Front line Liv…",0,Wed Mar 27 20:57:22 +0000 2019,,1111009339903344640,ja,,302,8tlk2hOgrBbWlpe,2019-03-31|20:12
AIRASIA X,"RT @SFJ_JA22MC: エアアジアのスペマ、
アプリゲームの「ドールズフロントライン」がFUK初飛来
撮りたいと思ってたスペマの１つ
休みで良かった
左右でキャラクター違うのね
airasia X A330-300 9M-XXB(Dolls Front line Liv…",0,Wed Mar 27 20:46:32 +0000 2019,,1111006614125858816,ja,,354,MT61QA,2019-03-31|20:12
AIRASIA X,"@AirAsia X considers returning to #Europe over the next two years – CEO: ""Bangkok base would be 'a natural hub' for such flights, as strong inbound demand from Europe to #Bangkok 'is very, very attractive'.""

@HelsinkiAirport #avgeek #Thailand #aviation
https://t.co/XIcCgSxSXu",0,Wed Mar 27 18:32:36 +0000 2019,"Europe,Bangkok,avgeek,Thailand,aviation",1110972907025510400,en,https://atwonline.com/airports-routes/airasia-x-considers-routes-europe-us-mainland?utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%3A+AtwDailyNews+%28ATW+Daily+News%29,26,EemilJ23,2019-03-31|20:12
AIRASIA X,"RT @SFJ_JA22MC: エアアジアのスペマ、
アプリゲームの「ドールズフロントライン」がFUK初飛来
撮りたいと思ってたスペマの１つ
休みで良かった
左右でキャラクター違うのね
airasia X A330-300 9M-XXB(Dolls Front line Liv…",0,Wed Mar 27 16:49:15 +0000 2019,,1110946896569204737,ja,,407,TO_RU_1999,2019-03-31|20:12
AIRASIA X,"AirAsia X considers routes to Europe, US mainland ... https://t.co/YuvEcWfJJn https://t.co/7vp2096zux",1,Wed Mar 27 16:30:52 +0000 2019,,1110942271745212416,en,http://tinyurl.com/yxovm34t,71188,ATWOnline,2019-03-31|20:12
AIRASIA X,"RT @SFJ_JA22MC: エアアジアのスペマ、
アプリゲームの「ドールズフロントライン」がFUK初飛来
撮りたいと思ってたスペマの１つ
休みで良かった
左右でキャラクター違うのね
airasia X A330-300 9M-XXB(Dolls Front line Liv…",0,Wed Mar 27 16:24:02 +0000 2019,,1110940550541144065,ja,,982,norakuroneko,2019-03-31|20:12
AIRASIA X,"RT @ChangTrixget: 📣 Thai AirAsia X เปิดเส้นทางบินใหม่! บินตรง จากดอนเมือง สู่ ""ฟุกุโอกะ"" ประเทศญี่ปุ่น ด้วยราคาเริ่มต้น 2,990 บาท/เที่ยว รว…",0,Wed Mar 27 16:06:41 +0000 2019,,1110936187194077184,th,,67,moddangnaka,2019-03-31|20:12
AIRASIA X,"RT @NorthComet8960: 2019.02.18 RJCC/CTS
Thai AirAsia X
AirbusA330-343E HS-XTF

この場所で撮った写真の中で一番のお気に入りは意外にもこれ。雲の感じとかとても好み。この条件で撮りたい機体は他にもあったけ…",0,Wed Mar 27 15:50:11 +0000 2019,,1110932034912813056,ja,,102,THEOHMWORTHY,2019-03-31|20:12
AIRASIA X,"Wednesday's #aviation #news including AirAsia X, Airbus finalizing details on potential #A321neoLR order , trivia &amp; more from the netAirspace Daily : https://t.co/bKSFJLmNhD",1,Wed Mar 27 12:53:09 +0000 2019,"aviation,news,A321neoLR",1110887482504171520,en,https://bit.ly/2HWTpnt,622,netAirspace,2019-03-31|20:12
AIRASIA X,"RT @SFJ_JA22MC: エアアジアのスペマ、
アプリゲームの「ドールズフロントライン」がFUK初飛来
撮りたいと思ってたスペマの１つ
休みで良かった
左右でキャラクター違うのね
airasia X A330-300 9M-XXB(Dolls Front line Liv…",0,Wed Mar 27 11:43:28 +0000 2019,,1110869944013488129,ja,,408,BADTZMARU16331,2019-03-31|20:12
AIRASIA X,"RT @SFJ_JA22MC: エアアジアのスペマ、
アプリゲームの「ドールズフロントライン」がFUK初飛来
撮りたいと思ってたスペマの１つ
休みで良かった
左右でキャラクター違うのね
airasia X A330-300 9M-XXB(Dolls Front line Liv…",0,Wed Mar 27 11:38:45 +0000 2019,,1110868759030317056,ja,,243,xxhani,2019-03-31|20:12
AIRASIA X,"RT @SFJ_JA22MC: エアアジアのスペマ、
アプリゲームの「ドールズフロントライン」がFUK初飛来
撮りたいと思ってたスペマの１つ
休みで良かった
左右でキャラクター違うのね
airasia X A330-300 9M-XXB(Dolls Front line Liv…",0,Wed Mar 27 10:19:31 +0000 2019,,1110848820152156160,ja,,1335,yunokunigo,2019-03-31|20:12
AIRASIA X,Highlight: AirAsia X blames ex-local partner on late payments to Nepal's airport - https://t.co/UUengEvTdK https://t.co/k0RpBx9bjq,4,Wed Mar 27 09:14:03 +0000 2019,,1110832344368209920,en,"http://theedgemarkets.com,https://u.theedgemarkets.com/r/558816",471659,theedgemarkets,2019-03-31|20:12
AIRASIA X,"AirAsia X blames ex-local partner on late payments to Nepal's airport

👇👇Clcik the link for details:
https://t.co/iRIMn0GSjR

Follow us for property updates!
#kltu #malaysia #property #kl",0,Wed Mar 27 09:13:06 +0000 2019,"kltu,malaysia,property,kl",1110832103153897473,en,http://zpr.io/gAJe2,2,latestpropmy,2019-03-31|20:12
AIRASIA X,"RT @ChangTrixget: 📣 Thai AirAsia X เปิดเส้นทางบินใหม่! บินตรง จากดอนเมือง สู่ ""ฟุกุโอกะ"" ประเทศญี่ปุ่น ด้วยราคาเริ่มต้น 2,990 บาท/เที่ยว รว…",0,Wed Mar 27 08:21:25 +0000 2019,,1110819095618834432,th,,43,Amayisnatty,2019-03-31|20:12
AIRASIA X,"RT @ChangTrixget: 📣 Thai AirAsia X เปิดเส้นทางบินใหม่! บินตรง จากดอนเมือง สู่ ""ฟุกุโอกะ"" ประเทศญี่ปุ่น ด้วยราคาเริ่มต้น 2,990 บาท/เที่ยว รว…",0,Wed Mar 27 07:56:55 +0000 2019,,1110812933057966080,th,,397,nay_env,2019-03-31|20:12
AIRASIA X,"RT @SFJ_JA22MC: エアアジアのスペマ、
アプリゲームの「ドールズフロントライン」がFUK初飛来
撮りたいと思ってたスペマの１つ
休みで良かった
左右でキャラクター違うのね
airasia X A330-300 9M-XXB(Dolls Front line Liv…",0,Wed Mar 27 07:16:23 +0000 2019,,1110802731126579200,ja,,3267,iuY0jx47oBZfIlO,2019-03-31|20:12
AIRASIA X,"RT @ChangTrixget: 📣 Thai AirAsia X เปิดเส้นทางบินใหม่! บินตรง จากดอนเมือง สู่ ""ฟุกุโอกะ"" ประเทศญี่ปุ่น ด้วยราคาเริ่มต้น 2,990 บาท/เที่ยว รว…",0,Wed Mar 27 06:48:03 +0000 2019,,1110795601602469888,th,,10,BTBWIN,2019-03-31|20:12
AIRASIA X,"RT @ChangTrixget: 📣 Thai AirAsia X เปิดเส้นทางบินใหม่! บินตรง จากดอนเมือง สู่ ""ฟุกุโอกะ"" ประเทศญี่ปุ่น ด้วยราคาเริ่มต้น 2,990 บาท/เที่ยว รว…",0,Wed Mar 27 06:09:17 +0000 2019,,1110785843914956800,th,,585,Chanann19,2019-03-31|20:12
AIRASIA X,"RT @ChangTrixget: 📣 Thai AirAsia X เปิดเส้นทางบินใหม่! บินตรง จากดอนเมือง สู่ ""ฟุกุโอกะ"" ประเทศญี่ปุ่น ด้วยราคาเริ่มต้น 2,990 บาท/เที่ยว รว…",0,Wed Mar 27 06:07:58 +0000 2019,,1110785513374400512,th,,307,FieLD13SJ,2019-03-31|20:12
AIRASIA X,"📣 Thai AirAsia X เปิดเส้นทางบินใหม่! บินตรง จากดอนเมือง สู่ ""ฟุกุโอกะ"" ประเทศญี่ปุ่น ด้วยราคาเริ่มต้น 2,990 บาท/เที่ยว รวมภาษีแล้ว⏰ สมาชิก BIG จองได้ก่อนใคร! ในวันพรุ่งนี้ 5 ทุ่ม
✅ https://t.co/J6BZmZ591X
📍 เริ่มจอง : 28 มี.ค. - 14 เม.ย. 62
📍 เดินทาง : 3 ก.ค. - 26 ต.ค. 62 https://t.co/pxWDh4hxay",2,Wed Mar 27 06:05:59 +0000 2019,,1110785016068333568,th,https://url.changreview.com/AXaU3,4542,ChangTrixget,2019-03-31|20:12
AIRASIA X,"RT @SFJ_JA22MC: エアアジアのスペマ、
アプリゲームの「ドールズフロントライン」がFUK初飛来
撮りたいと思ってたスペマの１つ
休みで良かった
左右でキャラクター違うのね
airasia X A330-300 9M-XXB(Dolls Front line Liv…",0,Wed Mar 27 05:34:38 +0000 2019,,1110777124686749696,ja,,640,t86ms9,2019-03-31|20:12
AIRASIA X,"2019.03.26(Tue) RJAA/NRT 
・【Aeroflot】SU261 R/W34L↑ B77W VQ-BQM 
・【EVA Air】BR197 R/W34L↑ B789 B-17881 
・【AirAsia X】XJ601 R/W34L↑ A333 HS-XTF 
・【Vanilla Air】JW103 R/W34L↑ A320 JA08VA 
@777_Flyar 、 @fsMsKkHexZjqUDq ありがとな！またよろしく～✌ https://t.co/IipA3xU8on",20,Wed Mar 27 01:52:48 +0000 2019,,1110721298185871362,ja,,656,matsuharu747,2019-03-31|20:12
AIRASIA X,"AirAsia X, Airbus finalizing details on potential A321neoLR orderAirAsia X is working with Airbus on details of a potential order for longer-range versions of the A321neo, with discussions covering issues such as configuration, quantity, timing and variant.

read more Link to ...",0,Wed Mar 27 01:30:33 +0000 2019,,1110715700707016704,en,,60,aeroclix,2019-03-31|20:12
AIRASIA X,"RT @SFJ_JA22MC: エアアジアのスペマ、
アプリゲームの「ドールズフロントライン」がFUK初飛来
撮りたいと思ってたスペマの１つ
休みで良かった
左右でキャラクター違うのね
airasia X A330-300 9M-XXB(Dolls Front line Liv…",0,Wed Mar 27 01:20:57 +0000 2019,,1110713285534347264,ja,,180,pOIk8sMTBo9NuBo,2019-03-31|20:12
AIRASIA X,"2019/03/27 FUK/RJFF
AirAsia X
Airbus A330-343 9M-XXB
Girls' Frontline Livery
#少女前线 #GirlsFrontline #ドールズフロントライン https://t.co/JLDBXEFpZb",13,Wed Mar 27 00:27:14 +0000 2019,"少女前线,GirlsFrontline,ドールズフロントライン",1110699765296033792,en,,1139,yadaboya,2019-03-31|20:12
AIRASIA X,"RT @SFJ_JA22MC: エアアジアのスペマ、
アプリゲームの「ドールズフロントライン」がFUK初飛来
撮りたいと思ってたスペマの１つ
休みで良かった
左右でキャラクター違うのね
airasia X A330-300 9M-XXB(Dolls Front line Liv…",0,Wed Mar 27 00:12:39 +0000 2019,,1110696094130827265,ja,,160,MgPooh,2019-03-31|20:12
AIRASIA X,"RT @SFJ_JA22MC: エアアジアのスペマ、
アプリゲームの「ドールズフロントライン」がFUK初飛来
撮りたいと思ってたスペマの１つ
休みで良かった
左右でキャラクター違うのね
airasia X A330-300 9M-XXB(Dolls Front line Liv…",0,Wed Mar 27 00:07:27 +0000 2019,,1110694787693211653,ja,,1101,dd_115Akizuki,2019-03-31|20:12
ALLIANCE BANK MALAYSIA,Jawatan Kosong di Alliance Bank Malaysia Berhad - 24 April 2019 https://t.co/UptrEtV0RY,0,Wed Mar 27 17:18:09 +0000 2019,,1110954171287724032,in,http://www.banyakjawatan.my/2019/03/jawatan-kosong-di-alliance-bank.html,189,banyakjawatan,2019-03-31|20:12
AEON CREDIT SERVICE,Lowongan Kerja PT AEON Credit Service Indonesia April 2019 https://t.co/X4FLWFWAUM https://t.co/gMuXfZ61Bl,0,Wed Mar 27 10:16:38 +0000 2019,,1110848092448964609,in,https://idlowker.com/lowongan-kerja-pt-aeon-credit-service-indonesia-april-2019/,1459,lokerindonesia_,2019-03-31|20:15
